Title,Year,Main Cast,Rating,Genre,Description
"Inception",2010,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page",8.8,"Sci-Fi, Thriller","A thief who enters the dreams of others to steal secrets is given a task to plant an idea into a target's subconscious."
"The Matrix",1999,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",8.7,"Sci-Fi, Action","A hacker discovers the truth about reality and joins a rebellion against the machines controlling humanity."
"The Dark Knight",2008,"Christian Bale, Heath Ledger, Aaron Eckhart",9.0,"Action, Crime, Drama","Batman faces his greatest threat yet in the form of the Joker, a criminal mastermind wreaking havoc on Gotham City."
"Interstellar",2014,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",8.6,"Sci-Fi, Adventure, Drama","A team of explorers travel through a wormhole in space to ensure humanity's survival."
"Pulp Fiction",1994,"John Travolta, Uma Thurman, Samuel L. Jackson",8.9,"Crime, Drama","Interwoven stories of crime and redemption unfold in Quentin Tarantino's classic."
"The Shawshank Redemption",1994,"Tim Robbins, Morgan Freeman, Bob Gunton",9.3,"Drama","A man wrongly imprisoned for murder forms a deep friendship with a fellow inmate while secretly plotting his escape."
"Titanic",1997,"Leonardo DiCaprio, Kate Winslet, Billy Zane",7.8,"Romance, Drama","A young couple from different social classes fall in love aboard the ill-fated Titanic."
"Forrest Gump",1994,"Tom Hanks, Robin Wright, Gary Sinise",8.8,"Drama, Romance","The story of a simple man with a kind heart who influences major historical events."
"Gladiator",2000,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",8.5,"Action, Drama","A betrayed Roman general seeks revenge against the corrupt emperor who murdered his family."
"The Godfather",1972,"Marlon Brando, Al Pacino, James Caan",9.2,"Crime, Drama","A powerful New York mafia family navigates crime, loyalty, and power struggles."