"ID","Title","Year","Main Cast","Rating","Genre","Description","Cover Image Path"
"1","Inception","2010","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page","8.8","Sci-Fi, Thriller","A thief who enters the dreams of others to steal secrets is given a task to plant an idea into a target's subconscious.","images/Titanic.jpg"
"2","The Matrix","1999","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","8.7","Sci-Fi, Action","A hacker discovers the truth about reality and joins a rebellion against the machines controlling humanity.","images/Titanic.jpg"
"3","The Dark Knight","2008","Christian Bale, Heath Ledger, Aaron Eckhart","9.0","Action, Crime, Drama","Batman faces his greatest threat yet in the form of the Joker, a criminal mastermind wreaking havoc on Gotham City.","images/Titanic.jpg"
"4","Interstellar","2014","Matthew McConaughey, Anne Hathaway, Jessica Chastain","8.6","Sci-Fi, Adventure, Drama","A team of explorers travel through a wormhole in space to ensure humanity's survival.","images/Titanic.jpg"
"5","Pulp Fiction","1994","John Travolta, Uma Thurman, Samuel L. Jackson","8.9","Crime, Drama","Interwoven stories of crime and redemption unfold in Quentin Tarantino's classic.","images/Titanic.jpg"
"6","The Shawshank Redemption","1994","Tim Robbins, Morgan Freeman, Bob Gunton","9.3","Drama","A man wrongly imprisoned for murder forms a deep friendship with a fellow inmate while secretly plotting his escape.","images/Titanic.jpg"
"7","Titanic","1997","Leonardo DiCaprio, Kate Winslet, Billy Zane","7.8","Romance, Drama","A young couple from different social classes fall in love aboard the ill-fated Titanic.","images/Titanic.jpg"
"8","Forrest Gump","1994","Tom Hanks, Robin Wright, Gary Sinise","8.8","Drama, Romance","The story of a simple man with a kind heart who influences major historical events.","images/Titanic.jpg"
"9","Gladiator","2000","Russell Crowe, Joaquin Phoenix, Connie Nielsen","8.5","Action, Drama","A betrayed Roman general seeks revenge against the corrupt emperor who murdered his family.","images/Titanic.jpg"
"10","The Godfather","1972","Marlon Brando, Al Pacino, James Caan","9.2","Crime, Drama","A powerful New York mafia family navigates crime, loyalty, and power struggles.","images/Titanic.jpg"
"11","Barbie","2023","Margot Robbie, Ryan Gosling, America Ferrera","8.8","Adventure, Comedy, Fantasy","Barbie embarks on a journey of self-discovery in the real world after being expelled from Barbieland.","images/Titanic.jpg"
"12","Oppenheimer","2023","Cillian Murphy, Emily Blunt, Matt Damon","8.3","Biography, Drama, History","A biographical film exploring the life of J. Robert Oppenheimer, the 'father of the atomic bomb.'","images/Titanic.jpg"
"13","Avatar: The Way of Water","2022","Sam Worthington, Zoe Saldana, Sigourney Weaver","7.5","Action, Adventure, Fantasy","Jake Sully and Neytiri navigate family life and new threats in the oceans of Pandora.","images/Titanic.jpg"
"14","Spider-Man: No Way Home","2021","Tom Holland, Zendaya, Benedict Cumberbatch","8.2","Action, Adventure, Sci-Fi","Spider-Man faces multiverse challenges as past villains return, threatening his world.","images/Titanic.jpg"